priority,category,check_status,domain,url,occurrence_count,source_count,source_files,check_method
C,仕様参照URL,未実施,www.sitemaps.org,http://www.sitemaps.org/schemas/sitemap/0.9,1,1,sitemap.xml,構造化データ・サイトマップ仕様。通常は変更不要
A,Adobe共有資料,未実施,acrobat.adobe.com,https://acrobat.adobe.com/id/urn:aaid:sc:AP:07df7371-c3ab-44a9-a96c-7a6c4266d8fc,4,3,journal/lpsa-art35.html / journal/pta-duty-concentration.html / research.html,公開範囲・権限・資料名・恒久性を確認
A,Adobe共有資料,未実施,acrobat.adobe.com,https://acrobat.adobe.com/id/urn:aaid:sc:AP:6d60dffb-c5b2-4084-beb5-f90fc83a4b4d,2,2,journal/school-duties-vs-pta.html / research.html,公開範囲・権限・資料名・恒久性を確認
A,Adobe共有資料,未実施,acrobat.adobe.com,https://acrobat.adobe.com/id/urn:aaid:sc:AP:6e1c1e91-3ae3-495a-8fad-75ba30aae40b,2,2,journal/edu-board-guideline.html / research.html,公開範囲・権限・資料名・恒久性を確認
A,Adobe共有資料,未実施,acrobat.adobe.com,https://acrobat.adobe.com/id/urn:aaid:sc:AP:eea7f8a5-4a69-4bb6-ab8f-7550c036c5a8,2,2,journal/yokohama-notice-1965.html / research.html,公開範囲・権限・資料名・恒久性を確認
A,Google系資料・旧サイト,未実施,drive.google.com,https://drive.google.com/open?id=1DistiBvtpsLTQXrLtOpz0pAAXJ5ide0TQnRTmyoURYA,1,1,archive.html,公開範囲・閲覧権限・移植後の要否を確認
B,CDN・地図・フォント,未実施,fonts.googleapis.com,https://fonts.googleapis.com,51,51,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / disclosure.html / donate.html / edu-board-start.html / evidence.html,読み込み可否と外部依存リスクを確認
B,CDN・地図・フォント,未実施,fonts.googleapis.com,https://fonts.googleapis.com/css2?family=Noto+Serif+JP:wght@400;700;900&family=Noto+Sans+JP:wght@400;500;700;900&display=swap,51,51,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / disclosure.html / donate.html / edu-board-start.html / evidence.html,読み込み可否と外部依存リスクを確認
B,CDN・地図・フォント,未実施,fonts.gstatic.com,https://fonts.gstatic.com,51,51,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / disclosure.html / donate.html / edu-board-start.html / evidence.html,読み込み可否と外部依存リスクを確認
B,研究機関・リポジトリ,未実施,kwansei.repo.nii.ac.jp,https://kwansei.repo.nii.ac.jp/record/27062/files/6.pdf,2,2,journal/lpsa-art35.html / research.html,資料名・著者・公開状態を確認
A,一次資料・公的機関,未実施,laws.e-gov.go.jp,https://laws.e-gov.go.jp/law/325AC0000000261,4,2,journal/lpsa-art35.html / research.html,公開前にHTTP到達・資料名・取得日を確認
B,SNS・外部発信,未実施,note.com,https://note.com/hiroshisatoh,6,6,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / data/site-config.json,プロフィール・投稿・チャンネルの到達確認
B,SNS・外部発信,未実施,note.com,https://note.com/turtles8men/n/n70075af64dc4,2,2,journal/lpsa-art35.html / research.html,プロフィール・投稿・チャンネルの到達確認
B,その他外部URL,未実施,ptaorg.github.io,https://ptaorg.github.io/ed/,11,6,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / data/board-responses-index.js,公開前にHTTP到達と引用位置を確認
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/,6,6,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / data/site-config.json,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/#website,10,5,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/404.html,3,2,404.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/archive.html,6,5,actual-pta-documents.html / archive.html / national-archive.html / sitemap.xml / yokohama-status.html,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/assets/og-image.png,56,51,404.html / archive.html / audit.html / audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / disclosure.html / donate.html / edu-board-start.html / evidence.html,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit.html,1,1,sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/board.html,2,2,audit/board.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/index.html,18,8,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html / diagnosis-pta-operation.html / implementation-roadmap.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/index.html#breadcrumb,5,5,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/index.html#webpage,5,5,audit/board.html / audit/index.html / audit/parent.html / audit/principal.html / audit/pta.html,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/parent.html,2,2,audit/parent.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/principal.html,2,2,audit/principal.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/audit/pta.html,3,2,audit/pta.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/board-responses.html,1,1,sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/disclosure-request-kit.html,1,1,sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
A,サイト内絶対URL,未実施,ptaorg.github.io,https://ptaorg.github.io/pta/disclosure.html,3,2,disclosure.html / sitemap.xml,ローカルファイル存在確認。公開URL統一の確認対象
